date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases
2020-09-29,2.0,2.0,2.0,3.0,76.85,51.0,67
2020-09-30,2.0,2.0,2.0,3.0,76.85,49.0,89
2020-10-01,2.0,2.0,2.0,3.0,76.85,48.0,86
2020-10-02,2.0,2.0,2.0,3.0,76.85,43.0,113
2020-10-03,2.0,2.0,2.0,3.0,76.85,43.0,58
2020-10-04,2.0,2.0,2.0,3.0,76.85,55.0,77
2020-10-05,2.0,2.0,2.0,3.0,76.85,50.0,37
2020-10-06,2.0,2.0,2.0,3.0,76.85,46.0,29
2020-10-07,2.0,2.0,2.0,3.0,76.85,59.0,79
2020-10-08,2.0,2.0,2.0,3.0,76.85,67.0,73
2020-10-09,2.0,2.0,2.0,3.0,76.85,60.0,68
2020-10-10,2.0,2.0,2.0,3.0,76.85,65.0,81
2020-10-11,2.0,2.0,2.0,3.0,76.85,44.0,67
2020-10-12,2.0,2.0,2.0,3.0,76.85,39.0,29
2020-10-13,2.0,2.0,2.0,3.0,76.85,40.0,58
2020-10-14,2.0,2.0,2.0,3.0,76.85,39.0,65
2020-10-15,2.0,2.0,2.0,3.0,76.85,57.0,52
2020-10-16,2.0,2.0,2.0,3.0,76.85,33.0,65
2020-10-17,2.0,2.0,2.0,3.0,76.85,45.0,57
2020-10-18,2.0,2.0,2.0,3.0,76.85,47.0,48
2020-10-19,2.0,2.0,2.0,3.0,76.85,41.0,25
2020-10-20,2.0,2.0,2.0,3.0,76.85,39.0,49
2020-10-21,2.0,2.0,2.0,3.0,76.85,33.0,40
2020-10-22,2.0,2.0,2.0,3.0,76.85,38.0,60
2020-10-23,2.0,2.0,2.0,3.0,76.85,31.0,79
2020-10-24,2.0,2.0,2.0,3.0,76.85,40.0,46
2020-10-25,2.0,2.0,2.0,3.0,76.85,48.0,53
2020-10-26,2.0,2.0,2.0,3.0,76.85,36.0,64
2020-10-27,2.0,2.0,2.0,3.0,76.85,43.0,71
2020-10-28,2.0,2.0,2.0,3.0,76.85,50.0,124
2020-10-29,2.0,2.0,2.0,3.0,76.85,47.0,65
2020-10-30,2.0,2.0,2.0,3.0,76.85,39.0,92
2020-10-31,2.0,2.0,2.0,3.0,76.85,47.0,108
2020-11-01,2.0,2.0,2.0,3.0,76.85,50.0,106
2020-11-02,2.0,2.0,2.0,3.0,76.85,42.0,52
2020-11-03,2.0,2.0,2.0,3.0,76.85,47.0,62
2020-11-04,2.0,2.0,2.0,3.0,76.85,32.0,84
2020-11-05,2.0,2.0,2.0,3.0,76.85,36.0,72
2020-11-06,2.0,2.0,2.0,3.0,76.85,37.0,98
2020-11-07,2.0,2.0,2.0,3.0,76.85,41.0,89
2020-11-08,2.0,2.0,2.0,3.0,76.85,46.0,0
2020-11-09,2.0,2.0,2.0,3.0,76.85,44.0,76
2020-11-10,2.0,2.0,2.0,3.0,76.85,40.0,36
2020-11-11,2.0,2.0,2.0,3.0,76.85,40.0,58
2020-11-12,2.0,2.0,2.0,3.0,73.15,38.0,75
2020-11-13,2.0,2.0,2.0,3.0,73.15,31.0,78
2020-11-14,2.0,2.0,2.0,3.0,73.15,38.0,122
2020-11-15,2.0,2.0,2.0,3.0,73.15,46.0,96
2020-11-16,2.0,2.0,2.0,3.0,73.15,41.0,79
2020-11-17,2.0,2.0,2.0,3.0,73.15,43.0,45
2020-11-18,2.0,2.0,2.0,3.0,73.15,44.0,93
