date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases,tourist
2020-10-24,2.0,2.0,2.0,3.0,76.85,40.0,57,5765
2020-10-25,2.0,2.0,2.0,3.0,76.85,48.0,48,4503
2020-10-26,2.0,2.0,2.0,3.0,76.85,36.0,25,4062
2020-10-27,2.0,2.0,2.0,3.0,76.85,43.0,49,3572
2020-10-28,2.0,2.0,2.0,3.0,76.85,50.0,40,4307
2020-10-29,2.0,2.0,2.0,3.0,76.85,47.0,60,5103
2020-10-30,2.0,2.0,2.0,3.0,76.85,39.0,79,5005
2020-10-31,2.0,2.0,2.0,3.0,76.85,47.0,46,5808
2020-11-01,2.0,2.0,2.0,3.0,76.85,50.0,53,6889
2020-11-02,2.0,2.0,2.0,3.0,76.85,42.0,64,6611
2020-11-03,2.0,2.0,2.0,3.0,76.85,47.0,71,5182
2020-11-04,2.0,2.0,2.0,3.0,76.85,32.0,124,6884
2020-11-05,2.0,2.0,2.0,3.0,76.85,36.0,65,7411
2020-11-06,2.0,2.0,2.0,3.0,76.85,37.0,92,7679
2020-11-07,2.0,2.0,2.0,3.0,76.85,41.0,108,8502
2020-11-08,2.0,2.0,2.0,3.0,76.85,46.0,106,5750
2020-11-09,2.0,2.0,2.0,3.0,76.85,44.0,52,6813
2020-11-10,2.0,2.0,2.0,3.0,76.85,40.0,62,6176
2020-11-11,2.0,2.0,2.0,3.0,76.85,40.0,84,7054
2020-11-12,2.0,2.0,2.0,3.0,73.15,38.0,72,6361
2020-11-13,2.0,2.0,2.0,3.0,73.15,31.0,98,6811
2020-11-14,2.0,2.0,2.0,3.0,73.15,38.0,89,8736
2020-11-15,2.0,2.0,2.0,3.0,73.15,46.0,0,6733
2020-11-16,2.0,2.0,2.0,3.0,73.15,41.0,76,7266
2020-11-17,2.0,2.0,2.0,3.0,73.15,43.0,36,6897
2020-11-18,2.0,2.0,2.0,3.0,73.15,44.0,58,8391
2020-11-19,2.0,2.0,2.0,3.0,73.15,43.0,75,9038
2020-11-20,2.0,2.0,2.0,3.0,73.15,34.0,78,10834
2020-11-21,2.0,2.0,2.0,3.0,73.15,41.0,122,12218
2020-11-22,2.0,2.0,2.0,3.0,73.15,47.0,96,10208
2020-11-23,2.0,2.0,2.0,3.0,73.15,36.0,79,9289
2020-11-24,2.0,2.0,2.0,3.0,73.15,33.0,45,6595
2020-11-25,2.0,2.0,2.0,3.0,73.15,34.0,93,7677
2020-11-26,2.0,2.0,2.0,3.0,73.15,54.0,90,7507
2020-11-27,2.0,2.0,2.0,3.0,73.15,40.0,79,6440
2020-11-28,2.0,2.0,2.0,3.0,73.15,33.0,48,6641
2020-11-29,2.0,2.0,2.0,3.0,64.81,43.0,46,6062
2020-11-30,2.0,2.0,2.0,3.0,73.15,35.0,66,7762
2020-12-01,2.0,2.0,2.0,3.0,73.15,34.0,32,8389
2020-12-02,2.0,2.0,2.0,3.0,73.15,32.0,62,7676
2020-12-03,2.0,2.0,2.0,3.0,73.15,32.0,116,8434
2020-12-04,2.0,2.0,2.0,3.0,78.7,34.0,74,7223
2020-12-05,2.0,2.0,2.0,3.0,78.7,34.0,82,8440
2020-12-06,2.0,2.0,2.0,3.0,78.7,41.0,87,6302
2020-12-07,2.0,2.0,2.0,3.0,78.7,36.0,58,6004
2020-12-08,2.0,2.0,2.0,3.0,78.7,39.0,39,5022
2020-12-09,2.0,2.0,2.0,3.0,78.7,31.0,45,6041
2020-12-10,2.0,2.0,2.0,3.0,78.7,30.0,79,7614
2020-12-11,2.0,2.0,2.0,3.0,78.7,33.0,69,7450
2020-12-12,2.0,2.0,2.0,3.0,78.7,34.0,152,8921
2020-12-13,2.0,2.0,2.0,3.0,78.7,40.0,55,7437
2020-12-14,2.0,2.0,2.0,3.0,78.7,36.0,157,6991
2020-12-15,2.0,2.0,2.0,3.0,78.7,39.0,35,6551
2020-12-16,2.0,2.0,2.0,3.0,78.7,30.0,85,9008
2020-12-17,2.0,2.0,2.0,3.0,78.7,31.0,113,10284
2020-12-18,2.0,2.0,2.0,3.0,78.7,33.0,104,12036
2020-12-19,2.0,2.0,2.0,3.0,78.7,32.0,116,14683
2020-12-20,2.0,2.0,2.0,3.0,78.7,41.0,178,11789
2020-12-21,2.0,2.0,2.0,3.0,78.7,30.0,104,11369
2020-12-22,2.0,2.0,2.0,3.0,78.7,30.0,51,8998
2020-12-23,2.0,2.0,2.0,3.0,78.7,27.0,68,11390
2020-12-24,2.0,2.0,2.0,3.0,78.7,32.0,79,11766
2020-12-25,2.0,2.0,2.0,3.0,78.7,56.0,96,10336
2020-12-26,2.0,2.0,2.0,3.0,78.7,42.0,83,14440
2020-12-27,2.0,2.0,2.0,3.0,78.7,40.0,72,11237
2020-12-28,2.0,2.0,2.0,3.0,78.7,31.0,29,11238
2020-12-29,2.0,2.0,2.0,3.0,78.7,34.0,55,11643
2020-12-30,2.0,2.0,2.0,3.0,78.7,28.0,84,11717
2020-12-31,2.0,2.0,2.0,3.0,78.7,35.0,135,9224
2021-01-01,2.0,2.0,2.0,3.0,78.7,49.0,201,8588
2021-01-02,2.0,2.0,2.0,3.0,78.7,34.0,92,10683
2021-01-03,2.0,2.0,2.0,3.0,78.7,42.0,88,10514
2021-01-04,2.0,2.0,2.0,3.0,78.7,43.0,62,10292
2021-01-05,2.0,2.0,2.0,3.0,78.7,41.0,74,8066
2021-01-06,2.0,2.0,2.0,3.0,78.7,36.0,85,8437
2021-01-07,2.0,2.0,2.0,3.0,78.7,42.0,212,10060
2021-01-08,2.0,2.0,2.0,3.0,78.7,35.0,212,7922
2021-01-09,2.0,2.0,2.0,3.0,78.7,42.0,158,8679
2021-01-10,2.0,2.0,2.0,3.0,78.7,43.0,127,7194
2021-01-11,2.0,2.0,2.0,3.0,78.7,42.0,108,6798
2021-01-12,2.0,2.0,2.0,3.0,78.7,44.0,83,4979
2021-01-13,2.0,2.0,2.0,3.0,78.7,39.0,73,7143
2021-01-14,2.0,2.0,2.0,3.0,78.7,36.0,118,8999
2021-01-15,2.0,2.0,2.0,3.0,78.7,32.0,128,7520
2021-01-16,2.0,2.0,2.0,3.0,78.7,39.0,114,8298
2021-01-17,2.0,2.0,2.0,3.0,78.7,46.0,86,6022
2021-01-18,2.0,2.0,2.0,3.0,78.7,43.0,83,6618
2021-01-19,2.0,2.0,2.0,3.0,78.7,43.0,44,4853
2021-01-20,2.0,2.0,2.0,3.0,78.7,40.0,49,6259
2021-01-21,2.0,2.0,2.0,3.0,78.7,35.0,66,6665
2021-01-22,2.0,2.0,2.0,3.0,78.7,31.0,104,5970
2021-01-23,2.0,2.0,2.0,3.0,78.7,40.0,104,7310
2021-01-24,2.0,2.0,2.0,3.0,78.7,45.0,102,5242
2021-01-25,2.0,2.0,2.0,3.0,78.7,39.0,88,5261
2021-01-26,2.0,2.0,2.0,3.0,78.7,36.0,54,4369
2021-01-27,2.0,2.0,2.0,3.0,78.7,39.0,64,5910
2021-01-28,2.0,2.0,2.0,3.0,78.7,40.0,65,7914
2021-01-29,2.0,2.0,2.0,3.0,78.7,34.0,79,6636
2021-01-30,2.0,2.0,2.0,3.0,78.7,40.0,82,7996
2021-01-31,2.0,2.0,2.0,3.0,78.7,48.0,59,6214
2021-02-01,2.0,2.0,2.0,3.0,78.7,46.0,57,7972
2021-02-02,2.0,2.0,1.0,3.0,76.85,38.0,41,5495
2021-02-03,2.0,2.0,1.0,3.0,76.85,40.0,41,7096
2021-02-04,2.0,2.0,1.0,3.0,76.85,32.0,79,8202
2021-02-05,2.0,2.0,1.0,3.0,76.85,27.0,74,8064
2021-02-06,2.0,2.0,1.0,3.0,76.85,35.0,85,9474
2021-02-07,2.0,2.0,1.0,3.0,76.85,51.0,52,6503
2021-02-08,2.0,2.0,1.0,3.0,76.85,38.0,20,8041
2021-02-09,2.0,2.0,1.0,3.0,76.85,29.0,22,7957
2021-02-10,2.0,2.0,1.0,3.0,76.85,28.0,40,11100
2021-02-11,2.0,2.0,1.0,3.0,76.85,30.0,61,13079
2021-02-12,2.0,2.0,1.0,3.0,76.85,28.0,42,15223
2021-02-13,2.0,2.0,1.0,3.0,76.85,39.0,46,14614
2021-02-14,2.0,2.0,1.0,3.0,76.85,43.0,36,10430
2021-02-15,2.0,2.0,1.0,3.0,76.85,32.0,23,10804
2021-02-16,2.0,2.0,1.0,3.0,76.85,29.0,13,8324
2021-02-17,2.0,2.0,1.0,3.0,76.85,32.0,17,9485
2021-02-18,2.0,2.0,1.0,3.0,76.85,28.0,45,11091
2021-02-19,2.0,2.0,1.0,3.0,76.85,26.0,36,10694
2021-02-20,2.0,2.0,1.0,3.0,76.85,29.0,35,11209
2021-02-21,2.0,2.0,1.0,3.0,76.85,35.0,32,9170
2021-02-22,2.0,2.0,1.0,3.0,76.85,28.0,19,9220
2021-02-23,2.0,2.0,1.0,3.0,76.85,30.0,27,7355
2021-02-24,2.0,2.0,1.0,3.0,76.85,32.0,16,9808
2021-02-25,2.0,2.0,1.0,3.0,76.85,31.0,24,11523
2021-02-26,2.0,2.0,1.0,3.0,76.85,27.0,45,10073
2021-02-27,2.0,2.0,1.0,3.0,76.85,40.0,21,11175
2021-02-28,2.0,2.0,1.0,3.0,76.85,45.0,36,9507
2021-03-01,2.0,2.0,1.0,3.0,76.85,30.0,17,10795
